9.764657942804245 10.396828730141499 9.26560308829677 200.0,-3.132349695474298 -11.481830714732677 8.016353047402607 200.0,13.354107968250819 -10.657548146539607 -5.933234522224504 200.0,-7.897029950167787 0.48471945431120966 -0.7476908771147079 200.0,-8.924146590063033 -12.497028442623417 5.142304443895689 200.0,-9.967225461235317 -1.7617618396603367 -13.012341183172119 200.0,-12.788739999920889 1.227369235461204 4.117720366184206 200.0,3.6959408726281207 3.71346567875358 7.303907275289596 200.0,5.488190525319135 0.4331944245215758 -9.683357908400527 200.0,-2.610394463632265 -11.447996057993441 -10.526202250674151 200.0,-0.1251958436060609 11.405720393934804 -3.5053152594059402 200.0,-8.60169042246661 -14.775124504512926 -3.2334433249652696 200.0,-6.2420455331958555 12.62678662735848 -5.084690573597212 200.0,6.106859478699754 -7.466194563472262 -9.926670674863699 200.0,5.627181009184019 -13.587291054183918 -8.839170093368821 200.0,-0.15466278367481662 3.287410152172254 12.002099330587821 200.0,13.036655367605972 13.572185286423675 1.9050104044157192 200.0,13.295591079310194 13.543039687820507 -14.571300843600994 200.0,6.6044181260602315 -2.65043239102089 4.6023946775757505 200.0,-0.7619528498322389 -10.082444377724125 1.4471359678158122 200.0,14.884736300693994 6.160094988023259 3.587437945119482 200.0,1.109446923988145 10.49996579847529 -6.2308660471018325 200.0,-3.328192321746416 -9.235865857288427 -14.60582325579249 200.0,-5.229350742872247 -5.286519211834916 10.010774951287932 200.0,14.03795961475811 2.557363762236817 -12.749788704268166 200.0
9.67564541828719 10.484976698823818 9.26358807596064 200.0,-3.1217337973738832 -11.475100250210524 8.072713245957631 200.0,13.384158151274566 -10.568605222760944 -5.95235979092856 200.0,-7.893191948526148 0.4731896328773695 -0.8000759203255008 200.0,-8.908131686495244 -12.458003022479833 5.0699798602856685 200.0,-10.063453522670374 -1.7864911544196183 -13.1085869653829 200.0,-12.747028315530356 1.1606504187303308 4.195303642099624 200.0,3.763366388031371 3.7797123823649783 7.22288173443112 200.0,5.432075585617571 0.471333702035474 -9.633597933827948 200.0,-2.6168897223501135 -11.53058166327079 -10.546738713024272 200.0,-0.0856227326411857 11.3707047852896 -3.514937022083415 200.0,-8.559003469131634 -14.813638706362301 -3.207307221311074 200.0,-6.187629761891631 12.56166826695171 -5.000728148755443 200.0,6.128011442079333 -7.52668564818246 -9.933701553682122 200.0,5.573915240181337 -13.553403170915821 -8.888647548968285 200.0,-0.14633146724971663 3.2878488632197866 12.034429077194304 200.0,12.945618324927676 13.61723792678397 1.9512976362977121 200.0,13.269646191523023 13.478524985962979 -14.667539424312706 200.0,6.64712063239988 -2.570714408101101 4.526495020026566 200.0,-0.7673344133215593 -10.07950280596492 1.5439998727487165 200.0,14.937539632441501 6.153212052929182 3.5424243606097687 200.0,1.1337663707688848 10.526351714037993 -6.3094467438489295 200.0,-3.3848028457227843 -9.186658709054681 -14.50202857343772 200.0,-5.297851264652506 -5.36820356463348 10.059560530711092 200.0,14.019748838065459 2.5023663468772126 -12.795982538636645 200.0
9.586257138354537 10.572351699201482 9.260535363972942 200.0,-3.1114341056356216 -11.467240323719787 8.12785734263539 200.0,13.412963703338535 -10.479056311447097 -5.971547627910328 200.0,-7.888758976034782 0.461418340142667 -0.8521628503203083 200.0,-8.890831411349895 -12.418079496619896 4.997234075338613 200.0,-10.158803610297108 -1.8114612571777562 -13.204073490138976 200.0,-12.70398865376107 1.0935490209957488 4.272309252948881 200.0,3.83052444283821 3.8454736900774003 7.141447422555624 200.0,5.3757739222693255 0.5090786694419618 -9.583217055598059 200.0,-2.623024822929533 -11.611970235635289 -10.56736095612665 200.0,-0.04536664991938349 11.334239516610978 -3.526647185905882 200.0,-8.515473292486359 -14.851127450058598 -3.180873185971968 200.0,-6.131872171978279 12.49552314897259 -4.916462789856588 200.0,6.148587378381746 -7.587216591524104 -9.93999549342622 200.0,5.52016904783455 -13.517948932452297 -8.937805703074488 200.0,-0.137540116475835 3.2879002809532274 12.06526516657303 200.0,12.853925757016544 13.661175035497006 1.9976585798271043 200.0,13.243261334644373 13.413364452626599 -14.763193070391623 200.0,6.689001906266487 -2.4904788648713625 4.450194745794919 200.0,-0.7730940185085297 -10.075936568653747 1.6409194588625 200.0,14.989165169420117 6.146430472682922 3.4972019067448907 200.0,1.1570055331425428 10.552635055254283 -6.385433913420257 200.0,-3.440843343246315 -9.137534103517028 -14.396304345665634 200.0,-5.365788217845636 -5.450060670997011 10.107096341620391 200.0,14.000630041627785 2.447243267225762 -12.841498052793602 200.0
9.496495493157108 10.658949725963174 9.256445192619903 200.0,-3.1014513446821135 -11.458242690978924 8.18177726757444 200.0,13.440525577059935 -10.388903317570678 -5.990797019719735 200.0,-7.883720614168836 0.44940362414250185 -0.9039512188945661 200.0,-8.87224870999234 -12.37726337924454 4.924075214314751 200.0,-10.25327513762148 -1.836670824942043 -13.298801888829402 200.0,-12.659631758093749 1.0260673910484457 4.3487359314365515 200.0,3.897435846007461 3.9107533306140363 7.059587849710936 200.0,5.319288407764456 0.5464414852501238 -9.532217234998662 200.0,-2.6288114385571113 -11.692116637224391 -10.588059096065733 200.0,-0.0044791627270273915 11.296392104149168 -3.5404145854256903 200.0,-8.471106814875947 -14.887583529849023 -3.154140425735015 200.0,-6.07475802615227 12.428351842915385 -4.831911200789392 200.0,6.168581276099285 -7.647809067762691 -9.945549352002297 200.0,5.465940765557983 -13.480912411796627 -8.986646030754802 200.0,-0.12830781370916475 3.2875748694284694 12.094628268684597 200.0,12.761579133512468 13.703996499263218 2.04409014760245 200.0,13.216436531835798 13.347560407843167 -14.85825844510777 200.0,6.7300665351025115 -2.4097249034333688 4.3734977887329665 200.0,-0.7792464460963774 -10.071749732446788 1.7378971326000425 200.0,15.039609509572498 6.139738532454807 3.451769556325426 200.0,1.1792071523830179 10.578742168667747 -6.458837273021898 200.0,-3.4962941957669185 -9.088537548144748 -14.288668242420561 200.0,-5.433156533997458 -5.532101380352001 10.153372764028903 200.0,13.980606469680428 2.391997677494956 -12.88633218511536 200.0
9.406363422982693 10.744766582303416 9.251316950291754 200.0,-3.0917865428489697 -11.44809917477343 8.234465166055848 200.0,13.466844381235774 -10.298148270363084 -6.010107024931095 200.0,-7.87806637528347 0.43714368038595136 -0.955440971465498 200.0,-8.85238629737765 -12.335560302471318 4.850511276444691 200.0,-10.346867598349911 -1.8621184332271343 -13.39277302856558 200.0,-12.613968012470952 0.9582075054816898 4.424582740594564 200.0,3.964119644573222 3.9755553089764804 6.977287424304013 200.0,5.262621556191147 0.5834341173488382 -9.480600004171405 200.0,-2.6342607545587615 -11.77097643380999 -10.608818654907225 200.0,0.03699129131377886 11.257225411359281 -3.5562095549854864 200.0,-8.425911002481833 -14.922999407966241 -3.1271081179620674 200.0,-6.0162727303992485 12.360155021419853 -4.747090612374041 200.0,6.187986237068159 -7.708485071576999 -9.950360287052083 200.0,5.4112297476480595 -13.442276864915819 -9.035169637249757 200.0,-0.11865246751787428 3.2868823708162673 12.12253775771107 200.0,12.668579391058252 13.745702127373372 2.0905894957297773 200.0,13.189171833265036 13.281115156453254 -14.952732144800954 200.0,6.770318901910895 -2.3284513247825314 4.296408005671903 200.0,-0.7858068998051685 -10.06694646783558 1.8349353018839558 200.0,15.088869299973279 6.13312455060565 3.406126577802823 200.0,1.2004110208173726 10.604603492333917 -6.529664290375949 200.0,-3.551135865766591 -9.039713734375544 -14.179142543446076 200.0,-5.499950185244036 -5.614335838737395 10.19837989803481 200.0,13.959681421984705 2.3366326279471896 -12.930481829011535 200.0
9.315864428962717 10.829797904351524 9.245149219843809 200.0,-3.082441060883084 -11.436801675472282 8.285913357813028 200.0,13.491920406201164 -10.206793328078414 -6.029476761867491 200.0,-7.871785720903144 0.42463684468520513 -1.0066324190361313 200.0,-8.831246647135906 -12.292976036844307 4.77655017115036 200.0,-10.439580588954543 -1.8878025330728005 -13.485987520007946 200.0,-12.567007428815204 0.8899709675434272 4.499849039901659 200.0,4.030593236724959 4.039883833786308 6.8945313672775175 200.0,5.205775550928633 0.6200683579745427 -9.428366475032382 200.0,-2.639383290364194 -11.848506389459937 -10.629620593960242 200.0,0.0789990845788306 11.216798234511108 -3.5740039109132513 200.0,-8.379892870043049 -14.957367206459065 -3.0997754184485364 200.0,-5.95640185800109 12.29093346014654 -4.662018789874334 200.0,6.206794352390736 -7.769266958737357 -9.954425780909773 200.0,5.356036458142935 -13.402024708190941 -9.083377227906244 200.0,-0.10859092612843824 3.2858318751070357 12.149011800023548 200.0,12.574926945657797 13.78629161119259 2.1371540312762893 200.0,13.161467317569734 13.214030989826997 -15.046610699614552 200.0,6.809763186273911 -2.246656592677402 4.218929174468215 200.0,-0.7927910095918272 -10.061531051640996 1.9320363833526997 200.0,15.136941227792038 6.126576901028714 3.3602724859486837 200.0,1.2206543264736436 10.630152970400607 -6.59792019762605 200.0,-3.6053490551329577 -8.99110604281505 -14.067754100958563 200.0,-5.566162177435453 -5.696773470934652 10.242107565939618 200.0,13.93785824623545 2.2811510642794137 -12.973943829137102 200.0
9.225002582987813 10.914039186010259 9.237939821181184 200.0,-3.0734166177868967 -11.424342182380878 8.336114295318412 200.0,13.515753648859075 -10.114840782192218 -6.048905396426211 200.0,-7.864868077165751 0.4118815848507977 -1.0575262108124805 200.0,-8.808831983861323 -12.249516512130933 4.702199754093703 200.0,-10.531413831561691 -1.9137214294147697 -13.578445728223235 200.0,-12.518759636927985 0.8213590068489971 4.574534452032974 200.0,4.096872471890251 4.103743251972226 6.811305632520538 200.0,5.14875227079475 0.6563558394034795 -9.375517347236134 200.0,-2.6441887211903237 -11.924664956432796 -10.650441433125232 200.0,0.12150112288929255 11.175165817462984 -3.5937709262936357 200.0,-8.333059485265247 -14.990678699219185 -3.072141469897523 200.0,-5.895131175399858 12.22068803773004 -4.576714040954833 200.0,6.224996567871497 -7.830177486111447 -9.957743670772608 200.0,5.300362572310496 -13.360137497940782 -9.131269073426031 200.0,-0.09813907854491496 3.2844318803315002 12.1740674342225 200.0,12.480621705960491 13.825764485764116 2.1837814182719373 200.0,13.133323093276488 13.146310187412283 -15.139890574313315 200.0,6.8484033645251525 -2.1643388371835095 4.141064992226846 200.0,-0.8002148339419165 -10.05550786867187 2.0292028097379866 200.0,15.183822010332097 6.120084033758891 3.3142069983806643 200.0,1.2399719568677934 10.655327537595182 -6.663608012481834 200.0,-3.658914864428397 -8.942756051496952 -13.95453421335842 200.0,-5.631784542123378 -5.779422960472183 10.284545316889742 200.0,13.915140330801893 2.2255558274382996 -13.016714977375795 200.0
9.133782536838035 10.99748580412485 9.229685850455411 200.0,-3.0647153140043244 -11.41071278610075 8.38506052102786 200.0,13.538343837510332 -10.022293060963412 -6.068392129975009 200.0,-7.85730284761167 0.3988764913493604 -1.1081233076107344 200.0,-8.7851442785544 -12.205187838194794 4.6274678628990396 200.0,-10.622367196803964 -1.9398732611329987 -13.670147786595644 200.0,-12.46923387659916 0.7523724798473519 4.648638830363951 200.0,4.162971739571111 4.167137989513347 6.72759683284274 200.0,5.091553314753637 0.6923080503553029 -9.322052915256771 200.0,-2.6486857050936394 -11.999412744542115 -10.671253457076135 200.0,0.16445660651934518 11.132380307292259 -3.615485302381904 200.0,-8.285417972903794 -15.022925304276024 -3.0442054110380687 200.0,-5.832446670128768 12.149419735908673 -4.491195223917296 200.0,6.242582537814317 -7.891239850085851 -9.960312184536152 200.0,5.244211091768612 -13.31659591291288 -9.178844969902126 200.0,-0.087311944901966 3.282690344721239 12.197720644051659 200.0,12.385663087215834 13.864120093550433 2.230469582451729 200.0,13.104739300169637 13.077955018112704 -15.232568169174229 200.0,6.8862432090935375 -2.0814958578950384 4.062819073779428 200.0,-0.808094861161288 -10.048881412574866 2.126437037501746 200.0,15.229508384277779 6.113634493851464 3.2679299973381966 200.0,1.2583967677123393 10.680066661804094 -6.726728562683102 200.0,-3.711814947838536 -8.894703062612658 -13.839518409230605 200.0,-5.696808327655039 -5.86229222757126 10.325682433936858 200.0,13.89153109780719 2.169849653843821 -13.058792008615262 200.0
9.042209530514308 11.080133043896133 9.220383716200361 200.0,-3.056339651925059 -11.395905692060923 8.432744623526922 200.0,13.55969045659763 -9.929152732277132 -6.087936187297007 200.0,-7.849079423510343 0.3856202670143806 -1.1584249561672402 200.0,-8.760185247175379 -12.159996325729908 4.552362352412707 200.0,-10.71244072624215 -1.9662559831004474 -13.761093613745615 200.0,-12.418438991753996 0.6830118709418465 4.722162227327055 200.0,4.228904048448923 4.230072497189528 6.6433921709251305 200.0,5.0341800252886 0.727936353108948 -9.26797307466221 200.0,-2.6528817211529376 -12.072712954278542 -10.692025005170834 200.0,0.20782682407868366 11.088491160614742 -3.639123139857849 200.0,-8.23697551851107 -15.054098076437667 -3.01596638641036 200.0,-5.768334581032483 12.07712963992608 -4.4054817560006 200.0,6.259540465979542 -7.95247772228815 -9.962129982806491 200.0,5.187586474323856 -13.271379740862917 -9.226104193049439 200.0,-0.0761237573888198 3.280614731995228 12.219986424899526 200.0,12.290050025661111 13.901357550301812 2.277216714929447 200.0,13.075716110603864 13.008967741497973 -15.324639820939632 200.0,6.923286287040927 -1.9981251268310893 3.9841949504892287 200.0,-0.8164480095936174 -10.041656285903345 2.223741554881277 200.0,15.27399709428342 6.107216938553521 3.2214414961522744 200.0,1.2759598214763903 10.70431193478949 -6.787280510780335 200.0,-3.7640316585127485 -8.846983663068967 -13.722746144811206 200.0,-5.761223589626282 -5.945388405097816 10.365507943419509 200.0,13.867033996548535 2.1140351760001908 -13.100171596332663 200.0
8.950289399745468 11.16197612444198 9.210029172678235 200.0,-3.048292553660371 -11.379913235379385 8.479159192486405 200.0,13.579792771462138 -9.835422505676052 -6.1075368045704534 200.0,-7.840187191916386 0.37211171589343806 -1.2084326644424002 200.0,-8.733956352279076 -12.113948506638923 4.476891129377791 200.0,-10.80163465393948 -1.992867350541623 -13.851282933333735 200.0,-12.366383426465006 0.613277294174918 4.795104863696546 200.0,4.2946810970707 4.292551200487001 6.558679374738387 200.0,4.9766335105443895 0.7632520013437233 -9.213277327659616 200.0,-2.656782924314364 -12.144531758997397 -10.712720838130421 200.0,0.2515749752911576 11.043545508939147 -3.6646619124946485 200.0,-8.187739371841884 -15.084187700361095 -2.9874235568336767 200.0,-5.702781431003307 12.00381893929436 -4.319593621473295 200.0,6.275856932465292 -8.013915281243492 -9.96319620766692 200.0,5.130494779685437 -13.224467870614673 -9.273045445966433 200.0,-0.06458803289313884 3.2782120507641337 12.240878844524914 200.0,12.193780993123799 13.93747571302001 2.3240212749890414 200.0,13.046253730754293 12.939350608849887 -15.416101803821878 200.0,6.959535957816584 -1.9142237909971485 3.9051960694482335 200.0,-0.825291626688745 -10.033837199434531 2.321118890525312 200.0,15.31728488103344 6.1008201528094395 3.1747416099014507 200.0,1.2926906000273786 10.728006702576472 -6.845260376901965 200.0,-3.815548179270889 -8.799631333228502 -13.604260422026444 200.0,-5.8250193809575 -6.0287178125822685 10.404010626571523 200.0,13.841652497256725 2.0581149234742746 -13.140850348007618 200.0
8.858028582639452 11.243010224399821 9.19861735065331 200.0,-3.04057737601557 -11.362727897205218 8.524296772297761 200.0,13.59864985319552 -9.741105233477702 -6.127193217378231 200.0,-7.83061554164435 0.35834973130782 -1.2581481779902788 200.0,-8.706458807714897 -12.067051153835706 4.4010621864118376 200.0,-10.88994942676069 -2.0197049059831755 -13.94071529654754 200.0,-12.313075222658135 0.5431684953943688 4.867467098855843 200.0,4.360313337254475 4.354578452969892 6.473446636991491 200.0,4.9189146653424745 0.7982661587289762 -9.157964787992341 200.0,-2.660394021862792 -12.214838623432138 -10.733302570982811 200.0,0.2956660192609228 10.99758849021879 -3.692080445378529 200.0,-8.137716849914455 -15.113184484139195 -2.958576110564908 200.0,-5.635774062454584 11.929488928999382 -4.2335513791884685 200.0,6.291516705266025 -8.075577238293407 -9.963510538845206 200.0,5.072943832262199 -13.175838291315543 -9.319666799691976 200.0,-0.0527176383546773 3.275488888884688 12.260411098573451 200.0,12.096854011638758 13.972473149967177 2.3708819921738846 200.0,13.016352401797565 12.869105864047269 -15.506950330548944 200.0,6.994995370252442 -1.8297886745968475 3.8258257931259347 200.0,-0.8346434868471158 -10.02542897076639 2.418571622941932 200.0,15.359368468895413 6.094433063157435 3.127830529791023 200.0,1.3086171950120684 10.751095728234171 -6.900662557673042 200.0,-3.866348634240547 -8.752676116265521 -13.484107337834226 200.0,-5.8881837418684 -6.112285928367448 10.44117903326236 200.0,13.815390085191304 2.0020913242229152 -13.180824800377616 200.0
