-0.9713126421255271 -7.06486027278003 4.73206839358476 100.0,-7.093557352731454 8.9862733893985 -4.8710473641281045 100.0,-0.5677403551650907 -7.041085902008734 -8.323803159635771 100.0,9.667592711886371 8.116123495263405 7.626719594587381 100.0,6.378835740657093 5.885254342609319 -0.47074613395966364 100.0,6.533745505947983 1.1865581166701045 9.441842011754542 100.0,4.705265879007393 -7.453118822531458 0.9149771409460838 100.0,-4.452779763996371 -4.689285525263206 -9.517087808185956 100.0,-1.4519232770791464 -1.2705697020063085 -7.464587874842805 100.0,1.544856665631509 -6.7636584460504245 -1.5509034762988043 100.0,3.9238539770299945 1.2397687943625906 -8.086780771107822 100.0,4.252558654034579 4.878857444776279 5.260856056619307 100.0,-4.0854534988771185 2.6832347012131033 1.6745654400136398 100.0,-4.582886271242722 4.76799278566492 3.3651663210151503 100.0,0.8601955759020995 -4.37300604148341 3.1980168064804633 100.0,-1.7770365580314245 -8.867792964172654 -6.398265992138337 100.0,-1.6593172907646732 9.249218261814244 1.0923137954051034 100.0,-3.133003369999064 -8.384571462755801 -7.493123942467962 100.0,0.5392958465142603 -5.673491695708596 1.8045817677085807 100.0,1.6060675063127074 -1.8450643931524968 1.120358891395132 100.0,-6.43139859080098 -8.013164024698536 -0.6527110516927245 100.0,9.833816489259819 9.10785196641253 6.3462125669529765 100.0,1.8469967550178716 1.9277315646691562 2.451145697919846 100.0,5.869619853526226 3.57729096571756 -5.4885541126362485 100.0,-2.623678215339837 4.555494108332025 -4.127752784151292 100.0
-0.9779322197415926 -7.0928997454451626 4.682175427204722 100.0,-7.081831996875333 8.97061629770862 -4.85611689960388 100.0,-0.624947649247519 -7.015445537298924 -8.353953390001472 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.356047571206819 5.859311180684957 -0.5066302301432193 100.0,6.523820260895686 1.1828213447710134 9.436085888490847 100.0,4.693350377095355 -7.450594495114532 0.8871053593744921 100.0,-4.477286736911964 -4.677259661459636 -9.476264786563316 100.0,-1.4344913896530511 -1.3103452651121619 -7.460052097083484 100.0,1.5126095733077825 -6.768338284218893 -1.5045460264042756 100.0,3.8777851058490262 1.213845150761614 -8.076995743232981 100.0,4.227547839872243 4.908355503334778 5.255266729837874 100.0,-4.0347355365838125 2.663929652011075 1.703684830446158 100.0,-4.55557872441437 4.744193208064054 3.3923298383979335 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.6826881072285764 9.19636000776321 1.061521742212198 100.0,-3.114718969833084 -8.38448384332946 -7.500381260838999 125.99210498948732,0.5184648856170148 -5.678742799191218 1.8589235918469718 125.99210498948732,1.5951485707946107 -1.8638287297188352 1.1070707543237108 100.0,-6.378786157810275 -7.974104667244511 -0.6965668442273836 100.0,9.869699293641977 9.051019738249538 6.349768199142861 125.99210498948732,1.8038273143715648 1.8957252904340605 2.415768565991792 100.0,5.846144150468637 3.5864761194915498 -5.470801222266064 100.0,-2.585264048439323 4.548926987832857 -4.1626614611273345 100.0
-0.9820430269091266 -7.117487801244599 4.626533954030963 100.0,-7.068227630848022 8.953044521811492 -4.8400997896969224 100.0,-0.6875628256571408 -6.989912209991488 -8.3804031465766 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.331104547129289 5.831452168848673 -0.5419482864657229 100.0,6.512613294545089 1.1796244178923188 9.427683641857273 100.0,4.676402191301452 -7.444872619560283 0.8584407502290938 100.0,-4.498502068743786 -4.666574012152422 -9.431809059909376 100.0,-1.4165901569204387 -1.3515397774148123 -7.453517372285294 100.0,1.479124734793308 -6.769921198203504 -1.4542764587118082 100.0,3.8305035000548586 1.1878291694245762 -8.063999597461581 100.0,4.201809976640016 4.9362319967863835 5.247461295267866 100.0,-3.9818225720152114 2.646247518995398 1.7335108083171102 100.0,-4.525238631849753 4.716996066031777 3.4157698199724984 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.7055968349243742 9.140151735666812 1.0303771036310767 100.0,-3.1209136753083686 -8.36448466437485 -7.528484321000589 125.99210498948732,0.5313279434543089 -5.6622676439558255 1.8785844927176383 125.99210498948732,1.5829121116225704 -1.8841524815554633 1.0937351569670315 100.0,-6.323131324324014 -7.933299427743438 -0.7411144942743539 100.0,9.903069991291993 9.021149013613194 6.358968722044667 125.99210498948732,1.7601050053259064 1.8622961342005737 2.3790729643492887 100.0,5.820126176785955 3.594021927690831 -5.451717367635705 100.0,-2.5457702320487057 4.5407179043931505 -4.195786384809155 100.0
-0.9835614758667971 -7.138502105892107 4.5651051477270235 100.0,-7.052734842490142 8.933554218041934 -4.822998524716676 100.0,-0.7557103207766764 -6.964586538317838 -8.40306806047424 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.303993085615159 5.801664501097186 -0.5767284811839072 100.0,6.500127270601237 1.17696249496648 9.416639360915918 100.0,4.65436720475648 -7.435927627302219 0.8290204564208115 100.0,-4.5163420506630185 -4.657291336686365 -9.383734099813982 100.0,-1.398243680040295 -1.3941684419855207 -7.444986154464347 100.0,1.444460497349197 -6.768332629989419 -1.400015671777485 100.0,3.781980254546049 1.1617013864573513 -8.047799203352351 100.0,4.175355711274642 4.962475789643247 5.237452217340399 100.0,-3.926721642151578 2.6301794265745615 1.7640397353895285 100.0,-4.4918249007287 4.686388964792232 3.4354586331133485 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.7280342399845265 9.080571677848008 0.9988865876783714 100.0,-3.127065927887141 -8.344389620610775 -7.556608089702264 125.99210498948732,0.544140895878536 -5.64583396112071 1.8981792711931573 125.99210498948732,1.569332894806844 -1.9060805744226426 1.0803823476540415 100.0,-6.264406469816915 -7.890738330727497 -0.7863531848375596 100.0,9.936438433251798 8.991290542790995 6.368173761743501 125.99210498948732,1.715793175977479 1.8274009819382713 2.3410396612671103 100.0,5.791568887643761 3.5999376322418732 -5.4312578863651995 100.0,-2.5051921535903405 4.530853635904937 -4.227119736721939 100.0
-0.9823923566524081 -7.155807781076579 4.4978380620706195 100.0,-7.035343456714945 8.912140555180507 -4.804814857938157 100.0,-0.8295358841147741 -6.939588810139937 -8.421855693005467 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.274697758909661 5.76993396397185 -0.6109994639106031 100.0,6.486364058181668 1.1748305395433067 9.402955812609893 100.0,4.627180560709762 -7.423729252055008 0.7988839831149472 100.0,-4.530717689115726 -4.649481794029417 -9.332052658098993 100.0,-1.3794779451042587 -1.438247393643563 -7.434459975548918 100.0,1.4086775357180803 -6.763493474129578 -1.3416712309352943 100.0,3.732186542347516 1.13544297165562 -8.028398221035017 100.0,4.148192871626786 4.98707392187035 5.225250344255059 100.0,-3.869441993700512 2.6157275912848728 1.7952750005152531 100.0,-4.45529031728805 4.652346296876583 3.451357559810303 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.7499902718474094 9.017595690183601 0.967056800307176 100.0,-3.133165653156565 -8.324182944078409 -7.584754528791685 125.99210498948732,0.5569007957677309 -5.629446572379808 1.9177027195468346 125.99210498948732,1.5543857333163713 -1.9296639196749579 1.0670437428464472 100.0,-6.202581549965753 -7.846410352217362 -0.8322823346551752 100.0,9.969804868278308 8.961444180569986 6.377383220554496 125.99210498948732,1.6708541315876837 1.7909971819856876 2.3016512709328314 100.0,5.760473105328787 3.6042308793853604 -5.40937811304134 100.0,-2.463524654436657 4.5193199186427515 -4.256651608862835 100.0
-0.9784271182008943 -7.169255361375757 4.424669050793325 100.0,-7.016042512447945 8.888797683049615 -4.785549800037689 100.0,-0.9092092474831304 -6.915063116900842 -8.436664311725774 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.243201235170729 5.736244908676098 -0.6447904221957941 100.0,6.4713247204514905 1.1732233038387654 9.386634454999223 100.0,4.594766024763542 -7.4082422366384915 0.7680737932308693 100.0,-4.541534112317173 -4.643223792277368 -9.276777053649223 100.0,-1.3603211193636195 -1.4837936490175392 -7.421939410624164 100.0,1.3718392642200385 -6.755319417846472 -1.2791361131942558 100.0,3.681093535059677 1.1090356366917302 -8.005797206630852 100.0,4.1203265049028746 5.010011626689946 5.2108649358668595 100.0,-3.8099958641574547 2.602905716458249 1.827227255416996 100.0,-4.415580666976483 4.614828689367255 3.463416337341782 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.7714539993086154 8.95119715053229 0.9348942961225334 100.0,-3.139201541513833 -8.303846365534321 -7.612925992188636 125.99210498948732,0.5696038325405154 -5.613111418141794 1.9371487544943098 125.99210498948732,1.5380455614765491 -1.9549599435649156 1.053752097112904 100.0,-6.137624020792309 -7.800303375565405 -0.8789015568568657 100.0,10.003169542319403 8.931609764957084 6.3865969998353345 125.99210498948732,1.6252489537137467 1.7530426030364 2.260892401594553 100.0,5.726837574470213 3.6069078086595674 -5.386033120122848 100.0,-2.4207619878721354 4.506101400123818 -4.2843700292625355 100.0
-0.9715417747179665 -7.178678354834429 4.345521057535199 100.0,-6.9948202375288515 8.863518697267683 -4.7652036120486425 100.0,-0.9949273766484812 -6.891182680355672 -8.447381492281812 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.2094842099420635 5.700580214700006 -0.6781311546770132 100.0,6.455009499629972 1.172135310416815 9.367675446404197 100.0,4.557035208441604 -7.389425985483541 0.7366360114874859 100.0,-4.54868990242378 -4.638605017869896 -9.217919505866774 100.0,-1.34080387865361 -1.5308250241638497 -7.407424022822564 100.0,1.3340123020222243 -6.743720185282924 -1.2122871638464587 100.0,3.628672337170227 1.0824615551586585 -7.979993691930051 100.0,4.091758906242287 5.031272338042183 5.194303680634723 100.0,-3.7483994700100607 2.591739725490214 1.8599148853193566 100.0,-4.372633648708732 4.573782084548824 3.471572418640618 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.7924135362610085 8.881346847408857 0.9024056335138424 100.0,-3.145160773314196 -8.283358439224868 -7.641125287216095 125.99210498948732,0.5822451769635443 -5.596835770761662 1.9565102503127354 125.99210498948732,1.5202875173363366 -1.9820332254068465 1.0405416979068813 100.0,-6.069498759717265 -7.752404140861568 -0.9262106136835866 100.0,10.036532696734653 8.90178711798912 6.395815000390151 125.99210498948732,1.5789373325153708 1.7134957265069266 2.2187498445997598 100.0,5.690659004117589 3.607973132548335 -5.361177465950379 100.0,-2.3768977758788297 4.491181588216415 -4.310260973919812 100.0
-0.9615943370852816 -7.183890298284264 4.260302769210023 100.0,-6.9716640215594685 8.836295599947508 -4.74377579685442 100.0,-1.0869184354301582 -6.868156780082168 -8.453882507569713 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.173525327489612 5.66292124465056 -0.7110521517605991 100.0,6.4374177981599106 1.1715608314171284 9.346077650391624 100.0,4.513886637642667 -7.367234154311753 0.704621265628563 100.0,-4.552076342240298 -4.635723691327989 -9.155492527185933 100.0,-1.320959765832504 -1.5793600105948962 -7.390912282670812 100.0,1.2952670002024023 -6.72859866386662 -1.1409831964579253 100.0,3.5748939338360506 1.055703293797974 -7.950982240522773 100.0,4.062489637653979 5.050837686998101 5.175572702346764 100.0,-3.684674273921331 2.582268889476369 1.8933647527748956 100.0,-4.326377516911766 4.529136395059001 3.47574990958908 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.8128559556998796 8.808012858099488 0.8695974350538915 100.0,-3.1510286843424584 -8.262693644420821 -7.669355750189121 125.99210498948732,0.5948187791724348 -5.5806285083018 1.9757788215628624 125.99210498948732,1.5010870343424865 -2.0109562643702157 1.0274485906169224 100.0,-5.998167985450657 -7.702698187316399 -0.9742093670994567 100.0,10.069894566650103 8.871976046670442 6.405037122796806 125.99210498948732,1.5318774162851774 1.6723157779002944 2.175212808884561 100.0,5.651932097948226 3.6074302084346277 -5.33476494563773 100.0,-2.3319249640797004 4.474542795867865 -4.334308365474399 100.0
-0.9484216363213706 -7.184681164290019 4.168907628246949 100.0,-6.946560386686885 8.807119256108844 -4.721265089238997 100.0,-1.1854466218159094 -6.846239863750215 -8.456028461028199 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.1353010910961325 5.623247789854809 -0.7435846849696445 100.0,6.41854815579431 1.171493865211672 9.32183863650191 100.0,4.465204646203822 -7.341614166580884 0.6720857014972317 100.0,-4.551576565718915 -4.634690112534 -9.089509390407255 100.0,-1.3008255779904154 -1.629417598586237 -7.372401455450196 100.0,1.2556780391990294 -6.709849885074656 -1.0650626439532993 100.0,3.5197291521099014 1.0287437546131661 -7.918754482015984 100.0,4.032515537297883 5.068687486307485 5.15467655718716 100.0,-3.618848630345614 2.574547437048667 1.9276132760103672 100.0,-4.276729359484927 4.480803642255932 3.4758581168323945 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.832767190295379 8.731160415389068 0.8364764541494444 100.0,-3.1567883575454654 -8.24182116950561 -7.6976213374459626 125.99210498948732,0.6073171053636918 -5.564500467334413 1.994944537374365 125.99210498948732,1.4804199436848808 -2.041810399745934 1.014510840970125 100.0,-5.923591179454904 -7.651169788038922 -1.0228977254346439 100.0,10.103255379459085 8.842176344021212 6.414263267663155 125.99210498948732,1.4840256845267579 1.6294629023407237 2.1302732061452376 100.0,5.61064957366745 3.6052811043484487 -5.306748340830698 100.0,-2.2858357741179276 4.456166080827988 -4.356494058764587 100.0
-0.9318353606452502 -7.180812929183411 4.071212704463596 100.0,-6.919494956321097 8.775979345564899 -4.697669444519801 100.0,-1.2908180667998193 -6.825743685287708 -8.453664118703978 100.0,9.698403210100336 8.113229086634531 7.641352179582316 0.0,6.0947857612320995 5.581538006157326 -0.7757609063047353 100.0,6.398398222314325 1.1719281103399164 9.294954676573928 100.0,4.4108580713079055 -7.312506643950694 0.639092219306746 100.0,-4.547064604166259 -4.635628581305043 -9.019984691093622 100.0,-1.2804417770428855 -1.6810170345308943 -7.351887448713944 100.0,1.21532510411696 -6.68735982437857 -0.9843406345545395 100.0,3.463148635935321 1.00156612793717 -7.883299125468609 100.0,4.001830718877383 5.084799702141131 5.131618221576062 100.0,-3.550959950007787 2.5686467785318534 1.9627079348112126 100.0,-4.2235928815431505 4.428675442092271 3.471789607484193 100.0,0.9061919617961658 -4.3348241024703675 3.181805180058667 0.0,-1.8090342987744656 -8.827673754323007 -6.448013824019228 0.0,-1.8521319175069428 8.650751762063937 0.803049649083187 100.0,-3.1624201255652293 -8.220703236564892 -7.725926731255117 125.99210498948732,0.6197307929429505 -5.548464900369111 2.013995541151815 125.99210498948732,1.4582625886649119 -2.0746869160280164 1.0017688440460113 100.0,-5.8457250128191856 -7.597801876688348 -1.0722755866915425 100.0,10.136615353479026 8.812387790218327 6.423493335819638 125.99210498948732,1.4353368538635014 1.5848983898270785 2.0839259924605953 100.0,5.566802172504661 3.601526659896152 -5.277079164395493 100.0,-2.238621652664652 4.436031179741578 -4.376797813197577 100.0
